Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2026-01-21 18:03:19,"Medaix ",30m,"Seated Row (Machine)",1,122.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Seated Row (Machine)",2,100.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Shoulder Press (Machine)",1,72.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Shoulder Press (Machine)",2,72.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Lat Pulldown (Machine)",1,102.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Lat Pulldown (Machine)",2,102.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Torso Rotation (Machine)",1,42.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Torso Rotation (Machine)",2,42.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Back Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-21 18:03:19,"Medaix ",30m,"Back Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-01-25 11:06:36,"Medaix ",35m,"Leg Press",1,122.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Leg Press",2,122.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Leg Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Leg Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Seated Row (Machine)",1,122.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Seated Row (Machine)",2,100.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Shoulder Press (Machine)",1,72.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Shoulder Press (Machine)",2,72.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Lat Pulldown (Machine)",1,102.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Lat Pulldown (Machine)",2,102.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Torso Rotation (Machine)",1,42.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Torso Rotation (Machine)",2,42.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Back Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-25 11:06:36,"Medaix ",35m,"Back Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-01-28 15:30:14,"Medaix ",28m,"Leg Press",1,122.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Leg Press",2,122.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Leg Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Leg Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Seated Row (Machine)",1,122.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Seated Row (Machine)",2,100.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Shoulder Press (Machine)",1,72.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Shoulder Press (Machine)",2,72.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Lat Pulldown (Machine)",1,102.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Lat Pulldown (Machine)",2,102.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Torso Rotation (Machine)",1,42.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Torso Rotation (Machine)",2,42.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Back Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-28 15:30:14,"Medaix ",28m,"Back Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-01-30 18:17:12,"Medaix ",30m,"Leg Press",1,122.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Leg Press",2,122.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Leg Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Leg Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Seated Row (Machine)",1,122.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Seated Row (Machine)",2,122.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Shoulder Press (Machine)",1,72.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Shoulder Press (Machine)",2,72.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Lat Pulldown (Machine)",1,102.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Lat Pulldown (Machine)",2,102.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Torso Rotation (Machine)",1,42.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Torso Rotation (Machine)",2,42.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Back Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-30 18:17:12,"Medaix ",30m,"Back Extension (Machine)",2,62.0,15.0,0,0.0,
2026-02-04 16:05:58,"Medaix ",24m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-02-04 16:05:58,"Medaix ",24m,"Leg Extension (Machine)",1,62.0,15.0,0,0.0,
2026-02-04 16:05:58,"Medaix ",24m,"Leg Extension (Machine)",2,62.0,15.0,0,0.0,
2026-02-04 16:05:58,"Medaix ",24m,"Seated Row (Machine)",1,122.0,15.0,0,0.0,
2026-02-04 16:05:58,"Medaix ",24m,"Seated Row (Machine)",2,122.0,15.0,0,0.0,
2026-02-04 16:05:58,"Medaix ",24m,"Shoulder Press (Machine)",1,72.0,15.0,0,0.0,
